Date,Description,Original Description,Category,Amount,Status
2026-02-02,"Huggingface Cny","HUGGINGFACE              HUGGINGFACE.CNY",Electronics & Software,-9.00,Posted
2026-02-02,"Nintendo","Nintendo CD1557188913    800-2553700  WA",Electronics & Software,-4.31,Posted
2026-02-02,"ATM Fee Rebate","ATM REBATE",Atm Fee,3.50,Posted
2026-01-30,"American Express Credit Card","AMEX EPAYMENT    ACH PMT    ***********7436",Credit Card Payment,-200.00,Posted
2026-01-30,"Vestal Dental Associat","VESTAL DENTAL ASSOCIAT   VESTAL       NY",Dentist,-813.83,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-140.62,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-43.17,Posted
2026-01-30,"Wansor Moses Chiropract","WANSOR-MOSES CHIROPRACT  NORWICH      NY",Doctor,-37.76,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-18.35,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-18.35,Posted
2026-01-30,"discovery+","discovery+ help.discoverydiscoveryplusTN",Television,-9.99,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-9.17,Posted
2026-01-30,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-6.79,Posted
2026-01-29,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-20.41,Posted
2026-01-29,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-18.42,Posted
2026-01-29,"Burger King","BURGER KING #17398       https://prod.NY",Fast Food,-15.11,Posted
2026-01-29,"Sonic","SONIC DRIVE IN #6120     817-428-2077 NY",Fast Food,-8.00,Posted
2026-01-29,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,40.83,Posted
2026-01-28,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-31.19,Posted
2026-01-28,"NYSLRS Pension","NYSLRS           PENSION PR ***********8282",Income,644.97,Posted
2026-01-28,"Defense Finance and Accounting Service","DFAS-CLEVELAND   ALLOTMENT  ***********2248",Paycheck,500.00,Posted
2026-01-27,"Amazon","AMAZON.COM               SEATTLE      WA",Shopping,-176.63,Posted
2026-01-27,"Pizza Hut","PIZZA HUT 041764         https://ipchaNY",Fast Food,-31.31,Posted
2026-01-27,"Amazon Prime Membership","AMAZON PRIME*4G93B7Q83   888-802-3080 WA",Shopping,-19.99,Posted
2026-01-26,"Walmart","WM SUPERCENTER #2120     NORWICH      NY",Shopping,-102.17,Posted
2026-01-26,"Netflix","Netflix.com              408-5403700  CA",Television,-26.99,Posted
2026-01-23,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-12.13,Posted
2026-01-21,"Wendy's","WENDY'S FRONT ST.        BINGHAMTON   NY",Fast Food,-18.57,Posted
2026-01-20,"Regal Cinemas","REGALCINEMASUNLIMITED    877-835-5734 TN",Movies & Dvds,-24.49,Posted
2026-01-20,"Regal Cinemas","REGALCINEMASUNLIMITED    877-835-5734 TN",Movies & Dvds,-24.49,Posted
2026-01-20,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-14.71,Posted
2026-01-20,"Target","TARGET T-1056            Vestal       NY",Shopping,-3.29,Posted
2026-01-20,"Regal Cinemas","REGAL CINEMAS INC        877-835-5734 TN",Movies & Dvds,-1.00,Posted
2026-01-16,"USAA Loan Payment","USAA LOAN PAYMENT",Financial,-1088.00,Posted
2026-01-16,"Wansor Moses Chiropract","WANSOR-MOSES CHIROPRACT  NORWICH      NY",Doctor,-75.52,Posted
2026-01-16,"Walmart+","WMT PLUS Jan 2026        800-966-6546 AR",Shopping,-13.99,Posted
2026-01-16,"Social Security","SSA  TREAS 310   XXSOC SEC  *********** SSA",Income,3097.00,Posted
2026-01-15,"Starlink","Starlink                 www.starlink.CA",Internet,-120.00,Posted
2026-01-15,"Amazon","AMZN Digital*AJ4LS4FM3   888-802-3080 WA",Entertainment,-59.99,Posted
2026-01-15,"Burger King","BURGER KING #2019        https://prod.NY",Fast Food,-29.54,Posted
2026-01-15,"Google One","Google One               650-2530000  CA",Electronics & Software,-21.59,Posted
2026-01-14,"Interest Paid","INTEREST PAID",Interest Income,0.01,Posted
2026-01-14,"AT&T","ATT              PAYMENT    ***********PAYW",Bills & Utilities,-256.70,Posted
2026-01-14,"Defense Finance and Accounting Service","DFAS-CLEVELAND   ALLOTMENT  ***********2248",Paycheck,500.00,Posted
2026-01-13,"Amazon","AMAZON MKTPL*2G9A223R3   Amzn.com/billWA",Shopping,-119.08,Posted
